created_at,level_date,symbol,price,strategy,category,engagement,score,level_type,session_context,volume,delta,hit_count,time_spent_mins,last_hit_timestamp,note
2025-09-01 12:59:59,2025-09-01,ES.v.0,6478.25,TARGET_EXIT,MAGNET,NEUTRAL_ZONE,10.0,MAGNET,AM_SESSION,9462,30,851,81.99,2025-09-05 15:02:59,Vol: 2450 | Ratio: 0.00 + SINGLE_PRINT
2025-09-02 16:29:59,2025-09-02,ES.v.0,6426.75,TARGET_EXIT,MAGNET,NEUTRAL_ZONE,10.0,MAGNET,PM_SESSION,43704,0,26,1.87,2025-09-03 14:40:38,Vol: 17759 | Ratio: 0.00 + MAGNET
2025-09-02 16:00:04,2025-09-02,ES.v.0,6428.0,REVERSAL_ENTRY,SINGLE_PRINT,SHORT_DEFENSE,4.309787527474897,SELLING_TAIL,PM_SESSION,33553,0,72,5.18,2025-09-03 15:11:23,"Tail (64t) [MODERATE: Vol=HIGH, Δ=WEAK, Time=LATE]"
2025-09-03 16:29:57,2025-09-03,ES.v.0,6450.0,TARGET_EXIT,MAGNET,NEUTRAL_ZONE,10.0,MAGNET,AM_SESSION,40989,0,0,0.0,,Vol: 21681 | Ratio: 0.00 + MAGNET
2025-09-04 16:29:59,2025-09-04,ES.v.0,6511.0,REVERSAL_ENTRY,SUPER_WALL,SHORT_DEFENSE,10.0,ASK_ABSORPTION,PM_SESSION,59517,0,569,61.36,2025-09-09 13:23:26,Vol: 15238 | Ratio: 0.00 + SUPER_WALL
2025-09-04 10:17:00,2025-09-04,ES.v.0,6463.0,REVERSAL_ENTRY,SINGLE_PRINT,LONG_DEFENSE,2.2857544748039524,BUYING_TAIL,AM_SESSION,58409,0,160,6.0,2025-09-05 11:13:22,"Tail (28t) [STRONG: Vol=HIGH, Δ=WEAK, Time=EARLY]"
2025-09-04 16:07:14,2025-09-04,ES.v.0,6513.0,REVERSAL_ENTRY,SINGLE_PRINT,SHORT_DEFENSE,1.7582726729261173,SELLING_TAIL,PM_SESSION,6301,0,540,62.13,2025-09-09 15:16:31,"Tail (14t) [MODERATE: Vol=MODERATE, Δ=WEAK, Time=LATE]"
2025-09-04 15:01:00,2025-09-04,ES.v.0,6499.0,REVERSAL_ENTRY,SINGLE_PRINT,NEUTRAL_ZONE,1.0549636037556702,GAP_ZONE,PM_SESSION,8071,0,769,93.58,2025-09-09 12:03:01,"Gap (4t) [WEAK: Vol=MODERATE, Δ=WEAK, Time=LATE]"
2025-09-04 15:40:38,2025-09-04,ES.v.0,6506.5,REVERSAL_ENTRY,SINGLE_PRINT,NEUTRAL_ZONE,1.0549636037556702,GAP_ZONE,PM_SESSION,27180,0,1205,126.66,2025-09-09 12:55:07,"Gap (16t) [WEAK: Vol=HIGH, Δ=WEAK, Time=LATE]"
2025-09-05 16:29:57,2025-09-05,ES.v.0,6480.0,TARGET_EXIT,MAGNET,NEUTRAL_ZONE,10.0,MAGNET,AM_SESSION,57720,0,0,0.0,,Vol: 15257 | Ratio: 0.00 + MAGNET
